"FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","STATE_NUMERIC","COUNTY_NAME","COUNTY_NUMERIC","PRIMARY_LAT_DMS","PRIM_LONG_DMS","PRIM_LAT_DEC","PRIM_LONG_DEC","SOURCE_LAT_DMS","SOURCE_LONG_DMS","SOURCE_LAT_DEC","SOURCE_LONG_DEC","ELEV_IN_M","ELEV_IN_FT","MAP_NAME","DATE_CREATED","DATE_EDITED","Town","Address"
988319,"Leesville","Populated Place","NC",37,"Wake",183,"355426N","0784334W",35.9070932,-78.7261158,NA,NA,NA,NA,158,518,"Bayleaf","6/17/1980","","Raleigh","13240 Strickland Rd, Raleigh, NC 27613, USA"
988344,"Leland","Populated Place","NC",37,"Brunswick",19,"341523N","0780241W",34.2562806,-78.0447143,NA,NA,NA,NA,7,23,"Leland","6/17/1980","3/20/2008","Leland","9292-9298 State Rd 1486, Leland, NC 28451, USA"
988356,"Leon","Populated Place","NC",37,"Duplin",61,"350145N","0774912W",35.0290534,-77.8199794,NA,NA,NA,NA,29,95,"Albertson","6/17/1980","","Pink Hill","2149 NC-111, Pink Hill, NC 28572, USA"
988365,"Leslie Church","Church","NC",37,"Harnett",85,"352038N","0783443W",35.3437739,-78.5786229,NA,NA,NA,NA,76,249,"Dunn","6/17/1980","","Dunn","259 Stewart Rd, Dunn, NC 28334, USA"
988366,"Lettis Grove Church","Church","NC",37,"Brunswick",19,"335914N","0782132W",33.9871163,-78.3588916,NA,NA,NA,NA,13,43,"Holden Beach","6/17/1980","","Shallotte","2773 US-17, Shallotte, NC 28470, USA"
988367,"Lettuce Hollow Church","Church","NC",37,"Franklin",69,"360218N","0781004W",36.0382075,-78.1677691,NA,NA,NA,NA,106,348,"Justice","6/17/1980","","Louisburg","4647-4875 NC-581, Louisburg, NC 27549, USA"
988371,"Levelton Chapel","Church","NC",37,"Greene",79,"353150N","0774718W",35.530438,-77.7883128,NA,NA,NA,NA,32,105,"Stantonsburg","6/17/1980","","Stantonsburg","7594 NC-58, Stantonsburg, NC 27883, USA"
988426,"Liberty Grove Church","Church","NC",37,"Lenoir",107,"351705N","0774836W",35.2846072,-77.8099792,NA,NA,NA,NA,24,79,"La Grange","6/17/1980","","La Grange","2704 NC-903, La Grange, NC 28551, USA"
988466,"Liddell","Populated Place","NC",37,"Lenoir",107,"351029N","0774846W",35.174608,-77.8127569,NA,NA,NA,NA,47,154,"Seven Springs","6/17/1980","","Seven Springs","5400-5712 Liddell Rd, Seven Springs, NC 28578, USA"
988481,"Ligon High School","School","NC",37,"Wake",183,"354617N","0783735W",35.7712627,-78.6263921,NA,NA,NA,NA,91,299,"Raleigh West","6/17/1980","","Raleigh","701-733 S Haywood St, Raleigh, NC 27601, USA"
988495,"Lincoln Heights School","School","NC",37,"Wake",183,"353524N","0784833W",35.5898787,-78.8091793,NA,NA,NA,NA,132,433,"Fuquay-Varina","6/17/1980","","Fuquay Varina","307 Bridge St, Fuquay Varina, NC 27526, USA"
988497,"Lincoln Park","Populated Place","NC",37,"Moore",125,"350512N","0792819W",35.0865464,-79.4719822,NA,NA,NA,NA,114,374,"Pinebluff","6/17/1980","","Pinebluff","1213-1219 Currant St Exd, Pinebluff, NC 28373, USA"
988498,"Lincoln School","School","NC",37,"Richmond",153,"350105N","0794025W",35.0179311,-79.6736611,NA,NA,NA,NA,108,354,"Millstone Lake","6/17/1980","","Rockingham","1273 Ledbetter Rd, Marston, NC 28363, USA"
