name,address,city,state,zip_code,program_code,lat,lng,fips_county,GoogleLat,GoogleLon,GoogleCounty,GoogleZip,GoogleZip+4,zipmatch,CountyMatch,fips_county_name
Urban Ministries of Wake,1390 Capital Blvd,Raleigh,NC,27603,FOODPANTRY,35.801725,-78.629802,37183,35.7991577,-78.6349792,Wake,27603,1118,TRUE,TRUE,
Page United Methodist Church,110 Knight Street,Aberdeen,NC,28315,FOODPANTRY,35.133302,-79.426828,37125,35.133256,-79.426553,Moore,28315,2804,TRUE,TRUE,
Loaves and Fishes Ministry,1950 New Bern Ave.,Raleigh,NC,27610,AFTER SCH,35.779617,-78.60902,37183,35.778526,-78.608773,Wake,27610,2427,TRUE,TRUE,
Philippi Church of Christ,3760 Philippi Drive,Greenville,NC,27834,FOODPANTRY,35.583162,-77.264724,37147,35.583026,-77.2649221,Pitt,27837,9523,FALSE,TRUE,
Salvation Army-Smithfield,306 N. Brightleaf Boulevard,Smithfield,NC,27577,FOODPANTRY,35.513398,-78.332839,37101,35.5112189,-78.337436,Johnston,27577,,TRUE,TRUE,
"Bethesda, Inc.",204 N. Pine Street,Aberdeen,NC,28315,GROUP HOME,35.131834,-79.424686,37125,35.132137,-79.424223,Moore,28315,2732,TRUE,TRUE,
Shiloh Baptist Church,635 College Street,Henderson,NC,27536,FOODPANTRY,36.321664,-78.403296,37181,36.3218115,-78.4033225,Vance,27536,5044,TRUE,TRUE,
St. Anthony's We Care,175 E Connecticut Ave,Southern Pines,NC,28387,FOODPANTRY,35.174523,-79.388614,37125,35.174739,-79.38843,Moore,28388,5527,FALSE,TRUE,
Community Mentor Program,297  Mizpah Road,Rockingham,NC,28345,FOODPANTRY,34.818888,-79.627073,37165,34.8976216,-79.7843295,Richmond,28379,7377,FALSE,FALSE,Scotland
Sandhills Children's Center,1280 Central Drive,Southern Pines,NC,28387,DAY CARE,35.210203,-79.392258,37125,35.2084738,-79.3927889,Moore,28387,2102,TRUE,TRUE,
